arquivo,id_historia,lake,numero,titulo,tabelas,views
bmc.txt,[BMC - 1],BMC,1,Entidade: BMC - Tamanho M,10,7
cliente.txt,[CLIENTE - 1],CLIENTE,1,Assunto: Salesforce CDC - Staging (Parte 1) - TAMANHO: G,3,3
cliente.txt,[CLIENTE - 2],CLIENTE,2,Assunto: CRM e Audiência (Parte 2) - TAMANHO: G,3,7
cliente.txt,[CLIENTE - 3],CLIENTE,3,Assunto: Campanhas Marketing Cloud (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 4],CLIENTE,4,Assunto: Campanhas Marketing Cloud (Parte 2) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 5],CLIENTE,5,Assunto: Marketing Cloud - Target & Views (Parte 3) - TAMANHO: G,2,3
cliente.txt,[CLIENTE - 6],CLIENTE,6,Assunto: Dados Públicos CNPJ - Staging (Parte 1) - TAMANHO: M,4,4
cliente.txt,[CLIENTE - 7],CLIENTE,7,Assunto: Dados Públicos CNPJ - Target & Views (Parte 2) - TAMANHO: G,5,4
cliente.txt,[CLIENTE - 8],CLIENTE,8,Assunto: Staging (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 9],CLIENTE,9,Assunto: Staging (Parte 2) - TAMANHO: G,7,0
cliente.txt,[CLIENTE - 10],CLIENTE,10,Assunto: Integrações Externas (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 11],CLIENTE,11,Assunto: Integrações Externas (Parte 2) - TAMANHO: P,3,0
cliente.txt,[CLIENTE - 12],CLIENTE,12,Assunto: Relacionamento Cliente (Parte 1) - TAMANHO: G,2,3
cliente.txt,[CLIENTE - 13],CLIENTE,13,Assunto: Relacionamento Cliente (Parte 2) - TAMANHO: M,2,3
cliente.txt,[CLIENTE - 14],CLIENTE,14,Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,1,5
cliente.txt,[CLIENTE - 15],CLIENTE,15,Assunto: Serviços Financeiros (Parte 1) - TAMANHO: M,3,0
cliente.txt,[CLIENTE - 16],CLIENTE,16,Assunto: Golden Cliente (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 17],CLIENTE,17,Assunto: Golden Cliente (Parte 2) - TAMANHO: G,3,7
cliente.txt,[CLIENTE - 18],CLIENTE,18,Assunto: Golden Cliente (Parte 3) - TAMANHO: G,0,10
cliente.txt,[CLIENTE - 19],CLIENTE,19,Assunto: Golden Cliente (Parte 4) - TAMANHO: G,,10
cliente.txt,[CLIENTE - 20],CLIENTE,20,Assunto: Golden Cliente (Parte 5) - TAMANHO: P,1,1
cliente.txt,[CLIENTE - 21],CLIENTE,21,Assunto: Privacidade LGPD (Parte 1) - TAMANHO: G,1,3
cliente.txt,[CLIENTE - 22],CLIENTE,22,Assunto: Qualidade e Validação (Parte 1) - TAMANHO: G,2,3
cliente.txt,[CLIENTE - 23],CLIENTE,23,Assunto: Qualidade e Validação (Parte 2) - TAMANHO: G,1,5
cliente.txt,[CLIENTE - 24],CLIENTE,24,Assunto: Hub Cart e Hub User (Parte 1) - TAMANHO: G,9,0
cliente.txt,[CLIENTE - 25],CLIENTE,25,Assunto: Hub Cart e Hub User (Parte 2) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 26],CLIENTE,26,Assunto: Hub Cart e Hub User (Parte 3) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 27],CLIENTE,27,Assunto: Hub Cart e Hub User (Parte 4) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 28],CLIENTE,28,Assunto: Hub Cart e Hub User (Parte 5) - TAMANHO: G,8,1
cliente.txt,[CLIENTE - 29],CLIENTE,29,Assunto: Visão 360 (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 30],CLIENTE,30,Assunto: Visão 360 (Parte 2) - TAMANHO: G,1,9
cliente.txt,[CLIENTE - 31],CLIENTE,31,Assunto: Visão 360 (Parte 3) - TAMANHO: P,,2
cliente.txt,[CLIENTE - 32],CLIENTE,32,Assunto: EDI - Envio CCDB (Parte 1) - TAMANHO: G,,
cliente.txt,[CLIENTE - 33],CLIENTE,33,Assunto: EDI - Envio CCDB (Parte 2) - TAMANHO: G,,
cliente.txt,[CLIENTE - 34],CLIENTE,34,Assunto: API - Carga Diária e Integrações - TAMANHO: G,,
cliente.txt,[CLIENTE - 35],CLIENTE,35,Assunto: EDI - Staging Salesforce e Venda Direta (Parte 1) - TAMANHO: P,,
cliente.txt,[CLIENTE - 36],CLIENTE,36,Assunto: EDI - SSH/FTP On-Premise (Parte 2) - TAMANHO: G,,
cliente.txt,[CLIENTE - 37],CLIENTE,37,Assunto: EDI - SSH/FTP On-Premise (Parte 3) - TAMANHO: G,,
cliente.txt,[CLIENTE - 38],CLIENTE,38,Assunto: Marketing Cloud - Target & Views (Parte 4) - TAMANHO: P,2,0
cliente.txt,[CLIENTE - 39],CLIENTE,39,Assunto: Dados Públicos CNPJ - Staging (Parte 3) - TAMANHO: M,4,0
cliente.txt,[CLIENTE - 40],CLIENTE,40,Assunto: Dados Públicos CNPJ - Target & Views (Parte 4) - TAMANHO: P,1,0
cliente.txt,[CLIENTE - 41],CLIENTE,41,Assunto: Relacionamento Cliente (Parte 4) - TAMANHO: M,3,0
cliente.txt,[CLIENTE - 42],CLIENTE,42,Assunto: Hub Cart e Hub User (Parte 6) - TAMANHO: P,1,0
comercial.txt,[COMERCIAL - 1],COMERCIAL,1,Entidade: Aprovação Comercial - TAMANHO: P,1,0
comercial.txt,[COMERCIAL - 2],COMERCIAL,2,Ingestão Base e Auxiliares - TAMANHO: P,3,0
comercial.txt,[COMERCIAL - 3],COMERCIAL,3,"Processamento ML Parte 1 (Topics, Summary, Translation) - TAMANHO: M",5,0
comercial.txt,[COMERCIAL - 4],COMERCIAL,4,"Processamento ML Parte 2 (Entity, Ranking) - TAMANHO: M",4,0
comercial.txt,[COMERCIAL - 5],COMERCIAL,5,Analytics e Consolidação - TAMANHO: M,3,1
comercial.txt,[COMERCIAL - 6],COMERCIAL,6,Rankings e Históricos - TAMANHO: M,4,2
comercial.txt,[COMERCIAL - 7],COMERCIAL,7,Cadastros Básicos e Metadados - TAMANHO: G,6,3
comercial.txt,[COMERCIAL - 8],COMERCIAL,8,Vendas - Cadastros de Perguntas e Metadados - TAMANHO: G,6,1
comercial.txt,[COMERCIAL - 9],COMERCIAL,9,Vendas - Entrevistas e Questionários - TAMANHO: G,5,4
comercial.txt,[COMERCIAL - 10],COMERCIAL,10,"Vendas - Cancelamento, Cotas e Qualidade - TAMANHO: G",6,2
comercial.txt,[COMERCIAL - 11],COMERCIAL,11,Vendas - Analytics Entrevistas e Qualidade - TAMANHO: M,6,0
comercial.txt,[COMERCIAL - 12],COMERCIAL,12,Vendas - Analytics Banco de Respostas e Índices Base - TAMANHO: G,4,3
comercial.txt,[COMERCIAL - 13],COMERCIAL,13,Vendas - Analytics Índices Codificação e 2022 - TAMANHO: G,6,3
