arquivo,id_historia,lake,numero,titulo,tabelas,views
bmc.txt,[BMC - 1],BMC,1,Entidade: BMC - Tamanho M,10,7
cliente.txt,[CLIENTE - 1],CLIENTE,1,Assunto: Salesforce CDC - Staging (Parte 1) - TAMANHO: G,7,3
cliente.txt,[CLIENTE - 2],CLIENTE,2,Assunto: CRM e Audiência (Parte 2) - TAMANHO: G,4,4
cliente.txt,[CLIENTE - 3],CLIENTE,3,Assunto: Campanhas Marketing Cloud (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 4],CLIENTE,4,Assunto: Campanhas Marketing Cloud (Parte 2) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 5],CLIENTE,5,Assunto: Marketing Cloud - Target & Views (Parte 3) - TAMANHO: G,7,2
cliente.txt,[CLIENTE - 6],CLIENTE,6,Assunto: Dados Públicos CNPJ - Staging (Parte 1) - TAMANHO: M,5,2
cliente.txt,[CLIENTE - 7],CLIENTE,7,Assunto: Dados Públicos CNPJ - Target & Views (Parte 2) - TAMANHO: G,5,1
cliente.txt,[CLIENTE - 8],CLIENTE,8,Assunto: Staging (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 9],CLIENTE,9,Assunto: Staging (Parte 2) - TAMANHO: G,7,0
cliente.txt,[CLIENTE - 10],CLIENTE,10,Assunto: Integrações Externas (Parte 1) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 11],CLIENTE,11,Assunto: Integrações Externas (Parte 2) - TAMANHO: P,3,0
cliente.txt,[CLIENTE - 12],CLIENTE,12,Assunto: Relacionamento Cliente (Parte 1) - TAMANHO: M,4,2
cliente.txt,[CLIENTE - 13],CLIENTE,13,Assunto: Relacionamento Cliente (Parte 2) - TAMANHO: G,7,3
cliente.txt,[CLIENTE - 14],CLIENTE,14,Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,2,5
cliente.txt,[CLIENTE - 15],CLIENTE,15,Assunto: Serviços Financeiros (Parte 1) - TAMANHO: M,6,0
cliente.txt,[CLIENTE - 16],CLIENTE,16,Assunto: Golden Cliente (Parte 1) - TAMANHO: G,9,1
cliente.txt,[CLIENTE - 17],CLIENTE,17,Assunto: Golden Cliente (Parte 2) - TAMANHO: G,3,7
cliente.txt,[CLIENTE - 18],CLIENTE,18,Assunto: Golden Cliente (Parte 3) - TAMANHO: G,0,10
cliente.txt,[CLIENTE - 19],CLIENTE,19,Assunto: Golden Cliente (Parte 4) - TAMANHO: G,,10
cliente.txt,[CLIENTE - 20],CLIENTE,20,Assunto: Golden Cliente (Parte 5) - TAMANHO: M,3,1
cliente.txt,[CLIENTE - 21],CLIENTE,21,Assunto: Privacidade LGPD (Parte 1) - TAMANHO: G,5,2
cliente.txt,[CLIENTE - 22],CLIENTE,22,Assunto: Qualidade e Validação (Parte 1) - TAMANHO: G,6,3
cliente.txt,[CLIENTE - 23],CLIENTE,23,Assunto: Qualidade e Validação (Parte 2) - TAMANHO: G,4,4
cliente.txt,[CLIENTE - 24],CLIENTE,24,Assunto: Hub Cart e Hub User (Parte 1) - TAMANHO: G,9,0
cliente.txt,[CLIENTE - 25],CLIENTE,25,Assunto: Hub Cart e Hub User (Parte 2) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 26],CLIENTE,26,Assunto: Hub Cart e Hub User (Parte 3) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 27],CLIENTE,27,Assunto: Hub Cart e Hub User (Parte 4) - TAMANHO: G,10,0
cliente.txt,[CLIENTE - 28],CLIENTE,28,Assunto: Hub Cart e Hub User (Parte 5) - TAMANHO: G,8,1
cliente.txt,[CLIENTE - 29],CLIENTE,29,Assunto: Visão 360 (Parte 1) - TAMANHO: G,6,0
cliente.txt,[CLIENTE - 30],CLIENTE,30,Assunto: Visão 360 (Parte 2) - TAMANHO: G,5,5
cliente.txt,[CLIENTE - 31],CLIENTE,31,Assunto: Visão 360 (Parte 3) - TAMANHO: P,,6
cliente.txt,[CLIENTE - 32],CLIENTE,32,Assunto: EDI - Envio CCDB (Parte 1) - TAMANHO: G,,
cliente.txt,[CLIENTE - 33],CLIENTE,33,Assunto: EDI - Envio CCDB (Parte 2) - TAMANHO: G,,
cliente.txt,[CLIENTE - 34],CLIENTE,34,Assunto: API - Carga Diária e Integrações - TAMANHO: G,,
cliente.txt,[CLIENTE - 35],CLIENTE,35,Assunto: EDI - Staging Salesforce e Venda Direta (Parte 1) - TAMANHO: P,,
cliente.txt,[CLIENTE - 36],CLIENTE,36,Assunto: EDI - SSH/FTP On-Premise (Parte 2) - TAMANHO: G,,
cliente.txt,[CLIENTE - 37],CLIENTE,37,Assunto: EDI - SSH/FTP On-Premise (Parte 3) - TAMANHO: G,,
cliente.txt,[CLIENTE - 38],CLIENTE,38,Assunto: Marketing Cloud - Target & Views (Parte 4) - TAMANHO: P,2,0
cliente.txt,[CLIENTE - 39],CLIENTE,39,Assunto: Dados Públicos CNPJ - Staging (Parte 3) - TAMANHO: M,4,0
cliente.txt,[CLIENTE - 40],CLIENTE,40,Assunto: Dados Públicos CNPJ - Target & Views (Parte 4) - TAMANHO: P,1,0
cliente.txt,[CLIENTE - 41],CLIENTE,41,Assunto: Relacionamento Cliente (Parte 4) - TAMANHO: M,3,0
cliente.txt,[CLIENTE - 42],CLIENTE,42,Assunto: Hub Cart e Hub User (Parte 6) - TAMANHO: P,1,0
comercial.txt,[COMERCIAL - 1],COMERCIAL,1,Entidade: Aprovação Comercial - TAMANHO: P,1,0
comercial.txt,[COMERCIAL - 2],COMERCIAL,2,Ingestão Base e Auxiliares - TAMANHO: P,3,0
comercial.txt,[COMERCIAL - 3],COMERCIAL,3,"Processamento ML Parte 1 (Topics, Summary, Translation) - TAMANHO: M",5,0
comercial.txt,[COMERCIAL - 4],COMERCIAL,4,"Processamento ML Parte 2 (Entity, Ranking) - TAMANHO: M",4,0
comercial.txt,[COMERCIAL - 5],COMERCIAL,5,Analytics e Consolidação - TAMANHO: M,3,1
comercial.txt,[COMERCIAL - 6],COMERCIAL,6,Rankings e Históricos - TAMANHO: M,4,2
comercial.txt,[COMERCIAL - 7],COMERCIAL,7,Cadastros Básicos e Metadados - TAMANHO: G,6,3
comercial.txt,[COMERCIAL - 8],COMERCIAL,8,Vendas - Cadastros de Perguntas e Metadados - TAMANHO: G,6,1
comercial.txt,[COMERCIAL - 9],COMERCIAL,9,Vendas - Entrevistas e Questionários - TAMANHO: G,5,4
comercial.txt,[COMERCIAL - 10],COMERCIAL,10,"Vendas - Cancelamento, Cotas e Qualidade - TAMANHO: G",6,2
comercial.txt,[COMERCIAL - 11],COMERCIAL,11,Vendas - Analytics Entrevistas e Qualidade - TAMANHO: M,6,0
comercial.txt,[COMERCIAL - 12],COMERCIAL,12,Vendas - Analytics Banco de Respostas e Índices Base - TAMANHO: G,4,3
comercial.txt,[COMERCIAL - 13],COMERCIAL,13,Vendas - Analytics Índices Codificação e 2022 - TAMANHO: G,6,3
comercial.txt,[COMERCIAL - 14],COMERCIAL,14,Pós-Vendas - Cadastros de Perguntas e Metadados - TAMANHO: G,6,1
comercial.txt,[COMERCIAL - 15],COMERCIAL,15,Pós-Vendas - Entrevistas e Questionários - TAMANHO: G,5,4
comercial.txt,[COMERCIAL - 16],COMERCIAL,16,"Pós-Vendas - Cancelamento, Cotas e Qualidade - TAMANHO: M",5,1
comercial.txt,[COMERCIAL - 17],COMERCIAL,17,Pós-Vendas - Analytics Entrevistas e Qualidade - TAMANHO: M,6,0
comercial.txt,[COMERCIAL - 18],COMERCIAL,18,Pós-Vendas - Analytics Banco de Respostas e Índices Base - TAMANHO: G,4,3
comercial.txt,[COMERCIAL - 19],COMERCIAL,19,Pós-Vendas - Analytics Índices Codificação e 2022 - TAMANHO: G,6,2
comercial.txt,[COMERCIAL - 20],COMERCIAL,20,Vendas PSA - Entrevistas e Cancelamentos - TAMANHO: G,8,3
comercial.txt,[COMERCIAL - 21],COMERCIAL,21,Pós-Vendas PSA - Entrevistas e Cancelamentos - TAMANHO: G,8,3
comercial.txt,[COMERCIAL - 22],COMERCIAL,22,Ingestão Staging AURA - Entrevistas e Cancelamentos - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 23],COMERCIAL,23,"Ingestão Staging IPSOS - Entrevistas, Perguntas e Qualidade - TAMANHO: G",10,0
comercial.txt,[COMERCIAL - 24],COMERCIAL,24,"Ingestão Staging IPSOS - Cancelamento, Fechamento e Metadata - TAMANHO: M",6,0
comercial.txt,[COMERCIAL - 25],COMERCIAL,25,"DataMart AURA - Entrevistas, Verbalizações e Cancelamento - TAMANHO: M",6,0
comercial.txt,[COMERCIAL - 26],COMERCIAL,26,DataMart IPSOS - Perguntas e Entrevistas Estruturadas - TAMANHO: G,8,0
comercial.txt,[COMERCIAL - 27],COMERCIAL,27,DataMart IPSOS - Verbalização e Qualidade Metadados - TAMANHO: M,6,0
comercial.txt,[COMERCIAL - 28],COMERCIAL,28,"DataMart IPSOS - Qualidade Final, Fechamento, Cancelamento e Governança - TAMANHO: G",8,0
comercial.txt,[COMERCIAL - 29],COMERCIAL,29,Analytics Restricted - Entrevistas e Banco Resposta - TAMANHO: G,8,0
comercial.txt,[COMERCIAL - 30],COMERCIAL,30,Analytics Restricted + Tabelas Abertas Base - TAMANHO: G,8,2
comercial.txt,[COMERCIAL - 31],COMERCIAL,31,Views Analytics - AURA e Cadastros Proprietário - TAMANHO: G,0,7
comercial.txt,[COMERCIAL - 32],COMERCIAL,32,Views Analytics - IPSOS Operacional (Pergunta/Resposta/Verbalização) - TAMANHO: G,0,8
comercial.txt,[COMERCIAL - 33],COMERCIAL,33,"Views Analytics - IPSOS Entrevistas, Long, Qualidade e Banco Resposta Aberto - TAMANHO: G",0,8
comercial.txt,[COMERCIAL - 34],COMERCIAL,34,"Views Analytics - Fechados, Índices e Codificação - TAMANHO: G",0,8
comercial.txt,[COMERCIAL - 35],COMERCIAL,35,Dimensões Geográficas - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 36],COMERCIAL,36,Dimensões Demográficas - TAMANHO: M,6,0
comercial.txt,[COMERCIAL - 37],COMERCIAL,37,Dimensões Veiculares - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 38],COMERCIAL,38,Concessionárias e Segmentos - TAMANHO: M,5,0
comercial.txt,[COMERCIAL - 39],COMERCIAL,39,CSI Vendas - Staging Base - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 40],COMERCIAL,40,CSI Vendas - DataMart - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 41],COMERCIAL,41,CSI Pós-Vendas - Staging Base - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 42],COMERCIAL,42,CSI Pós-Vendas - DataMart - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 43],COMERCIAL,43,Metadados e Controle - TAMANHO: G,2,8
comercial.txt,[COMERCIAL - 44],COMERCIAL,44,After Sales - Argentina e Chile - TAMANHO: G,5,2
comercial.txt,[COMERCIAL - 45],COMERCIAL,45,After Sales - Brasil - TAMANHO: M,2,2
comercial.txt,[COMERCIAL - 46],COMERCIAL,46,New Vehicle - Brasil - TAMANHO: M,3,3
comercial.txt,[COMERCIAL - 47],COMERCIAL,47,"New Vehicle - Argentina, Chile e Leapmotor - TAMANHO: M",2,3
comercial.txt,[COMERCIAL - 48],COMERCIAL,48,Plan de Ahorro (Consórcio) - Completo - TAMANHO: G,5,2
comercial.txt,[COMERCIAL - 49],COMERCIAL,49,Call Center e Integrações Especiais - TAMANHO: P,1,2
comercial.txt,[COMERCIAL - 50],COMERCIAL,50,Emplacamentos Pessoa Jurídica (PJ) - TAMANHO: P,2,1
comercial.txt,[COMERCIAL - 51],COMERCIAL,51,Emplacamentos Pessoa Física (PF) - TAMANHO: P,2,1
comercial.txt,[COMERCIAL - 52],COMERCIAL,52,Vendas de Veículos Leves (Light Vehicle Sales) - TAMANHO: M,3,1
comercial.txt,[COMERCIAL - 53],COMERCIAL,53,Powertrain de Veículos Leves (Light Vehicle Powertrain) - TAMANHO: M,3,1
comercial.txt,[COMERCIAL - 54],COMERCIAL,54,Capacidade de Plantas de Veículos (Vehicle Plant Capacity) - TAMANHO: M,4,1
comercial.txt,[COMERCIAL - 55],COMERCIAL,55,Ciclos de Planejamento de Veículos (Vehicle Cycle Plans) - TAMANHO: M,4,2
comercial.txt,[COMERCIAL - 56],COMERCIAL,56,Segmentação de Produtos e Previsões (Product Segmentation) - TAMANHO: M,3,1
comercial.txt,[COMERCIAL - 57],COMERCIAL,57,Governança e Histórico Consolidado (Governance & CCP Hist) - TAMANHO: P,2,1
comercial.txt,[COMERCIAL - 58],COMERCIAL,58,Auditoria e Logs - TAMANHO: P,1,1
comercial.txt,[COMERCIAL - 59],COMERCIAL,59,Catálogo e Características Básicas - TAMANHO: G,4,4
comercial.txt,[COMERCIAL - 60],COMERCIAL,60,Preços e Mercado - TAMANHO: G,4,5
comercial.txt,[COMERCIAL - 61],COMERCIAL,61,BR Cadastros de Veículos (Parte 1) - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 62],COMERCIAL,62,BR Cadastros de Veículos (Parte 2) e Demográficos - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 63],COMERCIAL,63,BR Cadastros de Pesquisa e Concessionárias - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 64],COMERCIAL,64,BR Cadastros de Respostas e Metadados - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 65],COMERCIAL,65,BR DataMart - Entidades Principais - TAMANHO: G,7,0
comercial.txt,[COMERCIAL - 66],COMERCIAL,66,BR Analytics Restricted - Tabelas SPSS - TAMANHO: G,7,0
comercial.txt,[COMERCIAL - 67],COMERCIAL,67,BR Analytics Restricted - Views - TAMANHO: G,0,8
comercial.txt,[COMERCIAL - 68],COMERCIAL,68,BR Analytics - Tabelas SPSS - TAMANHO: M,6,0
comercial.txt,[COMERCIAL - 69],COMERCIAL,69,BR Analytics Views - Dimensões de Veículos - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 70],COMERCIAL,70,BR Analytics Views - Demográficos e Perfil - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 71],COMERCIAL,71,BR Analytics Views - Satisfação e Fidelidade - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 72],COMERCIAL,72,BR Analytics Views - Comportamento de Compra - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 73],COMERCIAL,73,BR Analytics Views - Questionários e Logs - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 74],COMERCIAL,74,AR Staging e DataMart - TAMANHO: G,10,0
comercial.txt,[COMERCIAL - 75],COMERCIAL,75,AR DataMart (cont) e Analytics Restricted - TAMANHO: G,8,2
comercial.txt,[COMERCIAL - 76],COMERCIAL,76,AR Analytics Restricted (cont) e Analytics Tabelas - TAMANHO: G,5,5
comercial.txt,[COMERCIAL - 77],COMERCIAL,77,AR Analytics Views (Parte 1) - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 78],COMERCIAL,78,AR Analytics Views (Parte 2) e Cockpit - TAMANHO: G,0,10
comercial.txt,[COMERCIAL - 79],COMERCIAL,79,QFS Brasil - Metadata e Population (Staging e DataMart) - TAMANHO: M,4,2
comercial.txt,[COMERCIAL - 80],COMERCIAL,80,QFS Brasil - Respondent (Staging e DataMart) - TAMANHO: M,4,2
comercial.txt,[COMERCIAL - 81],COMERCIAL,81,QFS Brasil - Respondent (Analytics) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 82],COMERCIAL,82,QFS Brasil - Checkbox (Staging e DataMart) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 83],COMERCIAL,83,QFS Brasil - Checkbox (Analytics) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 84],COMERCIAL,84,QFS Brasil - Verbatim e Canceled (Staging e DataMart) - TAMANHO: G,6,3
comercial.txt,[COMERCIAL - 85],COMERCIAL,85,QFS Brasil - KPIs e Logs - TAMANHO: M,1,5
comercial.txt,[COMERCIAL - 86],COMERCIAL,86,QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,5,3
comercial.txt,[COMERCIAL - 87],COMERCIAL,87,QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 88],COMERCIAL,88,QFS Argentina - Respondent (Analytics) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 89],COMERCIAL,89,QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 90],COMERCIAL,90,QFS Argentina - Checkbox (Analytics) - TAMANHO: M,4,0
comercial.txt,[COMERCIAL - 91],COMERCIAL,91,QFS Argentina - Verbatim e Canceled - TAMANHO: G,6,3
comercial.txt,[COMERCIAL - 92],COMERCIAL,92,QFS Global - Analytics Restricted e Population - TAMANHO: M,4,1
