cenario,fim_comercial,fim_rh,fim_supply_chain,fim_finance,fim_projeto
COMERCIAL=split; Squad1->SUPPLY CHAIN; Squad5->RH,06/07/2026,28/07/2026,24/07/2026,31/07/2026,31/07/2026
COMERCIAL=split; Squad1->RH; Squad5->SUPPLY CHAIN,06/07/2026,03/08/2026,20/07/2026,31/07/2026,03/08/2026
COMERCIAL=split; Squad1->none; Squad5->RH,06/07/2026,28/07/2026,11/08/2026,31/07/2026,11/08/2026
COMERCIAL=split; Squad1->RH; Squad5->none,06/07/2026,03/08/2026,11/08/2026,31/07/2026,11/08/2026
COMERCIAL=split; Squad1->RH; Squad5->RH,06/07/2026,22/07/2026,11/08/2026,31/07/2026,11/08/2026
COMERCIAL=split; Squad1->none; Squad5->none,06/07/2026,28/08/2026,11/08/2026,31/07/2026,28/08/2026
COMERCIAL=split; Squad1->none; Squad5->SUPPLY CHAIN,06/07/2026,28/08/2026,20/07/2026,31/07/2026,28/08/2026
COMERCIAL=split; Squad1->SUPPLY CHAIN; Squad5->none,06/07/2026,28/08/2026,24/07/2026,31/07/2026,28/08/2026
COMERCIAL=split; Squad1->SUPPLY CHAIN; Squad5->SUPPLY CHAIN,06/07/2026,28/08/2026,16/07/2026,31/07/2026,28/08/2026
COMERCIAL=s5_only; Squad1->none; Squad5->none,03/09/2026,28/08/2026,11/08/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->none; Squad5->RH,03/09/2026,28/08/2026,11/08/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->none; Squad5->SUPPLY CHAIN,03/09/2026,28/08/2026,11/08/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->RH; Squad5->none,03/09/2026,25/06/2026,11/08/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->RH; Squad5->RH,03/09/2026,25/06/2026,11/08/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->RH; Squad5->SUPPLY CHAIN,03/09/2026,25/06/2026,11/08/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->SUPPLY CHAIN; Squad5->none,03/09/2026,28/08/2026,18/06/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->SUPPLY CHAIN; Squad5->RH,03/09/2026,28/08/2026,18/06/2026,31/07/2026,03/09/2026
COMERCIAL=s5_only; Squad1->SUPPLY CHAIN; Squad5->SUPPLY CHAIN,03/09/2026,28/08/2026,18/06/2026,31/07/2026,03/09/2026
